Order_ID,Order_Line_No,Order_Date,Channel,Order_Priority,Order_Size_Lines,SKU_ID,Category,Subcategory,Quantity,Width_cm,Depth_cm,Height_cm,Weight_kg,Storage_Type,Criticality,Shelf_Life_Days,Unit_Value_INR,Avg_Daily_Demand,Demand_CV,Demand_StdDev,Avg_Weekly_Demand,Picking_Frequency_Weekly,Current_Zone,Current_Aisle,Current_Rack,Current_Bin_Capacity_Units,Distance_From_Dispatch_m,Picker_Travel_Distance_m,Picking_Time_sec,Observed_SKU_90D_Demand,Observed_SKU_Order_Frequency,ABC_Class,XYZ_Class,ABC_XYZ_Class
ORD00002,5,2026-03-27,App,Standard,6,SKU046,Pet Care,Cat Food,3,14.2,20.5,26.3,5.95,Ambient,Low,730,169.11,14,0.55,7.7,98,81.5,Z6,A1,R3,30,55.0,65.15,19.44,34,22,C,Z,CZ
ORD00002,6,2026-03-27,App,Standard,6,SKU091,Pet Care,Dog Food,2,16.5,19.5,38.4,5.94,Fragile,High,365,1182.01,5,0.7,3.5,35,30.7,Z3,A5,R2,50,45.5,52.31,28.82,30,23,A,Z,AZ
ORD00003,1,2026-02-07,App,Standard,5,SKU001,Health & Wellness,OTC,3,27.7,26.5,10.3,1.36,Ambient,Medium,180,964.18,40,0.17,6.8,280,345.5,Z6,A5,R3,30,71.0,60.75,36.64,52,18,A,X,AX
ORD00003,2,2026-02-07,App,Standard,5,SKU080,Health & Wellness,Wellness,2,22.3,10.3,28.0,1.87,HighValue,Medium,90,228.92,17,0.23,3.91,119,101.5,Z7,A4,R1,40,72.0,80.62,30.21,25,11,C,X,CX
ORD00003,3,2026-02-07,App,Standard,5,SKU076,Health & Wellness,Vitamins,1,19.7,27.7,7.6,0.74,Ambient,Medium,365,1289.07,4,0.74,2.96,28,25.5,Z2,A1,R3,30,23.0,25.43,13.54,11,10,C,Z,CZ
ORD00003,4,2026-02-07,App,Standard,5,SKU067,Health & Wellness,Vitamins,1,19.0,6.9,31.4,1.88,Ambient,Medium,365,674.25,10,0.49,4.9,70,79.4,Z1,A4,R1,40,24.0,23.55,20.87,28,20,B,Y,BY
ORD00003,5,2026-02-07,App,Standard,5,SKU113,Health & Wellness,Vitamins,2,30.6,16.3,36.5,3.62,HighValue,Medium,90,1210.42,16,0.18,2.88,112,122.1,Z6,A3,R1,40,60.0,74.56,26.16,30,13,A,X,AX
ORD00004,1,2026-03-03,App,Standard,3,SKU032,Grocery,Snacks,1,5.9,13.4,28.8,3.29,Ambient,Low,365,973.07,9,0.38,3.42,63,75.5,Z5,A2,R2,50,49.5,55.66,19.7,47,27,A,Y,AY
ORD00004,2,2026-03-03,App,Standard,3,SKU088,Household,Cleaning,3,32.2,13.7,30.5,6.57,Ambient,Low,60,332.96,13,0.4,5.2,91,71.4,Z1,A2,R4,40,20.5,23.74,19.86,63,34,B,Y,BY
ORD00004,3,2026-03-03,App,Standard,3,SKU005,Grocery,Breakfast,1,20.8,20.2,38.8,7.44,Ambient,Medium,180,1791.39,5,0.48,2.4,35,37.0,Z3,A4,R4,40,44.5,54.57,28.65,23,19,A,Y,AY
ORD00005,1,2026-02-17,App,Express,4,SKU029,Pet Care,Cat Food,3,19.2,11.5,13.7,5.14,Ambient,Medium,90,805.77,15,0.3,4.5,105,114.7,Z6,A1,R5,50,58.0,67.57,21.42,35,17,A,Y,AY
ORD00005,2,2026-02-17,App,Express,4,SKU010,Pet Care,Dog Food,1,11.4,15.0,7.1,3.09,Ambient,Medium,180,531.32,4,0.64,2.56,28,30.3,Z4,A5,R2,50,53.5,53.22,28.03,17,13,C,Z,CZ
ORD00005,3,2026-02-17,App,Express,4,SKU108,Pet Care,Pet Hygiene,3,16.6,29.3,22.4,4.03,Ambient,Medium,730,778.49,12,0.52,6.24,84,78.7,Z4,A1,R5,50,42.0,49.62,15.85,32,20,B,Z,BZ
ORD00005,4,2026-02-17,App,Express,4,SKU091,Pet Care,Dog Food,2,16.5,19.5,38.4,5.94,Fragile,High,365,1182.01,5,0.7,3.5,35,30.7,Z3,A5,R2,50,45.5,48.44,27.39,30,23,A,Z,AZ
ORD00006,1,2026-01-22,App,Standard,3,SKU064,Health & Wellness,Wellness,2,32.1,24.4,13.1,6.44,HighValue,Low,90,1228.03,12,0.5,6.0,84,92.1,Z2,A4,R2,50,33.5,28.77,25.66,22,14,B,Y,BY
ORD00006,2,2026-01-22,App,Standard,3,SKU019,Health & Wellness,OTC,1,29.3,27.0,5.9,5.92,HighValue,High,730,1558.71,7,0.54,3.78,49,56.1,Z4,A3,R6,30,51.5,48.26,24.7,41,25,A,Z,AZ
ORD00006,3,2026-01-22,App,Standard,3,SKU063,Health & Wellness,Vitamins,1,22.2,19.4,39.7,2.43,Ambient,Medium,730,1406.5,14,0.21,2.94,98,121.1,Z7,A1,R4,40,64.5,72.89,21.77,31,15,A,X,AX
ORD00007,1,2026-03-11,App,Standard,7,SKU115,Personal Care,Oral Care,3,21.5,20.3,8.0,2.54,Ambient,Medium,180,1486.43,20,0.31,6.2,140,103.7,Z6,A2,R6,30,63.5,58.51,24.15,30,17,A,Y,AY
ORD00007,2,2026-03-11,App,Standard,7,SKU008,Personal Care,Bath & Body,1,26.9,21.8,39.4,0.88,Ambient,High,60,365.07,4,0.63,2.52,28,27.9,Z2,A1,R2,50,21.5,24.53,13.15,20,19,C,Z,CZ
ORD00007,3,2026-03-11,App,Standard,7,SKU006,Personal Care,Bath & Body,1,6.9,5.5,24.4,4.75,Fragile,Medium,30,431.37,14,0.21,2.94,98,117.4,Z6,A5,R6,30,75.5,64.86,33.99,41,16,B,X,BX
ORD00007,4,2026-03-11,App,Standard,7,SKU049,Personal Care,Bath & Body,1,17.1,11.8,23.9,3.56,Ambient,Medium,365,469.4,6,0.55,3.3,42,31.5,Z5,A1,R1,40,44.0,46.98,18.33,44,39,B,Z,BZ
ORD00007,5,2026-03-11,App,Standard,7,SKU112,Personal Care,Oral Care,1,5.8,9.7,23.1,7.32,Ambient,Medium,60,1793.55,2,0.88,1.76,14,12.0,Z8,A3,R2,50,77.5,73.55,31.55,36,24,A,Z,AZ
ORD00007,6,2026-03-11,App,Standard,7,SKU047,Household,Cleaning,2,25.7,16.7,6.1,2.38,Ambient,Low,60,1664.94,13,0.24,3.12,91,103.1,Z4,A5,R3,30,55.0,67.37,30.54,42,20,A,X,AX
ORD00007,7,2026-03-11,App,Standard,7,SKU082,Grocery,Beverages,2,31.1,19.2,19.0,1.22,Ambient,Medium,60,692.75,10,0.25,2.5,70,66.5,Z7,A3,R2,50,69.5,81.58,25.09,13,9,C,X,CX
ORD00008,1,2026-02-23,App,Standard,4,SKU115,Personal Care,Oral Care,1,21.5,20.3,8.0,2.54,Ambient,Medium,180,1486.43,20,0.31,6.2,140,103.7,Z6,A2,R6,30,63.5,75.91,23.69,30,17,A,Y,AY
ORD00008,2,2026-02-23,App,Standard,4,SKU004,Personal Care,Hair Care,1,29.9,12.7,7.0,7.04,Ambient,Medium,30,1760.92,3,0.84,2.52,21,20.9,Z1,A5,R4,40,32.5,31.39,28.49,10,8,B,Z,BZ
ORD00008,3,2026-02-23,App,Standard,4,SKU034,Personal Care,Hair Care,2,21.2,30.0,17.2,5.24,Ambient,Medium,60,378.87,12,0.26,3.12,84,59.7,Z3,A4,R1,40,40.0,39.1,27.31,18,13,C,Y,CY
ORD00008,4,2026-02-23,App,Standard,4,SKU031,Personal Care,Hair Care,2,19.3,28.6,15.5,3.18,Ambient,Medium,730,994.38,25,0.27,6.75,175,180.6,Z6,A4,R3,30,67.0,65.54,31.98,39,15,A,Y,AY
ORD00009,1,2026-02-08,Web,Express,5,SKU119,Baby Care,Baby Food,3,22.2,20.5,6.1,7.12,Ambient,Low,60,1453.32,23,0.2,4.6,161,173.4,Z7,A1,R5,50,66.0,64.51,24.93,24,12,A,X,AX
ORD00009,2,2026-02-08,Web,Express,5,SKU100,Baby Care,Baby Food,2,9.4,15.9,38.1,1.85,Ambient,Low,30,728.71,20,0.33,6.6,140,126.8,Z7,A4,R2,50,73.5,73.54,28.28,62,29,A,Y,AY
ORD00009,3,2026-02-08,Web,Express,5,SKU023,Baby Care,Baby Hygiene,2,27.1,9.9,20.1,7.6,Ambient,Medium,30,1302.56,6,0.87,5.22,42,36.3,Z3,A4,R6,30,47.5,56.51,27.01,20,16,B,Z,BZ
ORD00009,4,2026-02-08,Web,Express,5,SKU053,Grocery,Cooking,1,18.1,22.5,9.2,7.79,Ambient,Low,365,49.27,7,0.53,3.71,49,45.3,Z8,A2,R1,40,72.0,84.41,27.07,44,30,C,Z,CZ
ORD00009,5,2026-02-08,Web,Express,5,SKU062,Personal Care,Hair Care,3,25.3,8.9,20.5,2.83,Ambient,Low,90,835.88,12,0.52,6.24,84,72.8,Z1,A3,R2,50,21.5,26.6,18.09,40,22,A,Z,AZ
ORD00010,1,2026-03-13,App,Standard,4,SKU050,Health & Wellness,Wellness,1,35.0,21.8,14.4,0.42,Ambient,High,60,1794.58,5,0.88,4.4,35,32.9,Z3,A3,R2,50,37.5,40.69,21.99,22,20,A,Z,AZ
ORD00010,2,2026-03-13,App,Standard,4,SKU072,Health & Wellness,Vitamins,2,24.3,19.9,5.7,6.32,HighValue,Low,365,389.24,6,0.45,2.7,42,48.6,Z6,A2,R4,40,60.5,56.48,24.1,54,33,B,Y,BY
ORD00010,3,2026-03-13,App,Standard,4,SKU080,Health & Wellness,Wellness,4,22.3,10.3,28.0,1.87,HighValue,Medium,90,228.92,17,0.23,3.91,119,101.5,Z7,A4,R1,40,72.0,87.38,30.24,25,11,C,X,CX
ORD00010,4,2026-03-13,App,Standard,4,SKU110,Health & Wellness,Vitamins,1,33.4,6.9,27.3,2.97,Ambient,Low,365,1228.61,6,0.89,5.34,42,39.5,Z1,A5,R5,50,34.0,38.98,25.08,15,13,B,Z,BZ
ORD00011,1,2026-03-03,Web,Standard,6,SKU084,Personal Care,Oral Care,2,8.4,15.7,14.9,5.46,Ambient,Low,180,1772.39,16,0.3,4.8,112,81.8,Z5,A5,R3,30,63.0,76.59,35.3,28,13,A,Y,AY
ORD00011,2,2026-03-03,Web,Standard,6,SKU031,Personal Care,Hair Care,2,19.3,28.6,15.5,3.18,Ambient,Medium,730,994.38,25,0.27,6.75,175,180.6,Z6,A4,R3,30,67.0,72.03,31.08,39,15,A,Y,AY
ORD00011,3,2026-03-03,Web,Standard,6,SKU092,Personal Care,Skin Care,1,29.3,25.9,39.4,0.77,Ambient,Medium,180,955.22,1,0.63,0.63,7,7.2,Z7,A5,R2,50,77.5,73.96,31.73,8,7,C,Z,CZ
ORD00011,4,2026-03-03,Web,Standard,6,SKU034,Personal Care,Hair Care,3,21.2,30.0,17.2,5.24,Ambient,Medium,60,378.87,12,0.26,3.12,84,59.7,Z3,A4,R1,40,40.0,40.68,26.77,18,13,C,Y,CY
ORD00011,5,2026-03-03,Web,Standard,6,SKU055,Personal Care,Skin Care,1,28.7,15.4,37.7,4.11,Ambient,Low,365,1054.36,14,0.21,2.94,98,104.2,Z8,A4,R1,40,80.0,80.15,33.45,38,17,A,X,AX
ORD00011,6,2026-03-03,Web,Standard,6,SKU112,Personal Care,Oral Care,2,5.8,9.7,23.1,7.32,Ambient,Medium,60,1793.55,2,0.88,1.76,14,12.0,Z8,A3,R2,50,77.5,86.17,30.42,36,24,A,Z,AZ
ORD00012,1,2026-03-29,Web,Standard,3,SKU095,Baby Care,Diapers,2,33.4,29.9,36.9,0.84,Ambient,Low,90,344.97,23,0.29,6.67,161,131.7,Z6,A1,R2,50,53.5,46.73,20.57,43,20,C,Y,CY
ORD00012,2,2026-03-29,Web,Standard,3,SKU061,Grocery,Cooking,1,28.8,9.2,7.8,6.98,Ambient,High,60,437.13,11,0.42,4.62,77,80.9,Z4,A3,R1,40,44.0,54.04,26.19,33,20,C,Y,CY
ORD00012,3,2026-03-29,Web,Standard,3,SKU112,Personal Care,Oral Care,1,5.8,9.7,23.1,7.32,Ambient,Medium,60,1793.55,2,0.88,1.76,14,12.0,Z8,A3,R2,50,77.5,78.66,31.35,36,24,A,Z,AZ
ORD00013,1,2026-03-22,App,Standard,3,SKU085,Grocery,Snacks,4,13.7,8.0,22.4,3.5,Ambient,Low,365,1504.2,28,0.21,5.88,196,224.1,Z5,A5,R5,50,66.0,63.67,35.35,65,22,A,X,AX
ORD00013,2,2026-03-22,App,Standard,3,SKU072,Health & Wellness,Vitamins,2,24.3,19.9,5.7,6.32,HighValue,Low,365,389.24,6,0.45,2.7,42,48.6,Z6,A2,R4,40,60.5,61.84,25.78,54,33,B,Y,BY
ORD00013,3,2026-03-22,App,Standard,3,SKU042,Grocery,Beverages,3,10.8,8.0,23.8,6.12,Ambient,Medium,730,1071.52,8,0.29,2.32,56,62.6,Z4,A1,R1,40,36.0,43.82,16.55,43,26,A,Y,AY
ORD00014,1,2026-03-09,App,Standard,2,SKU026,Household,Home Care,2,29.6,23.8,28.5,1.87,Frozen,Low,180,1110.01,43,0.15,6.45,301,337.9,Z6,A1,R6,30,59.5,52.49,23.56,80,26,A,X,AX
ORD00014,2,2026-03-09,App,Standard,2,SKU073,Household,Home Care,3,12.0,24.4,32.6,4.81,Ambient,High,365,469.91,8,0.49,3.92,56,44.6,Z6,A5,R1,40,68.0,58.66,33.5,26,15,C,Y,CY
ORD00015,1,2026-02-21,App,Standard,3,SKU066,Dairy & Chilled,Dairy,4,21.2,29.3,23.6,7.32,Chilled,Medium,90,1647.44,30,0.12,3.6,210,256.1,Z5,A5,R4,40,64.5,68.45,36.86,52,17,A,X,AX
ORD00015,2,2026-02-21,App,Standard,3,SKU011,Dairy & Chilled,Ready-to-Eat,1,13.9,29.2,25.3,4.38,Chilled,Medium,30,114.0,12,0.3,3.6,84,80.8,Z3,A1,R4,40,32.5,38.91,15.59,16,12,C,Y,CY
ORD00015,3,2026-02-21,App,Standard,3,SKU102,Dairy & Chilled,Beverages,2,7.4,11.4,34.2,4.44,Chilled,Medium,365,776.28,5,0.4,2.0,35,39.4,Z5,A2,R5,50,54.0,46.91,22.22,10,8,C,Y,CY
ORD00016,1,2026-01-10,App,Standard,4,SKU036,Grocery,Cooking,1,22.3,27.7,18.1,7.54,Ambient,Medium,60,205.87,13,0.34,4.42,91,102.4,Z6,A4,R5,50,70.0,70.4,35.82,36,16,C,Y,CY
ORD00016,2,2026-01-10,App,Standard,4,SKU103,Grocery,Staples,2,24.2,20.6,7.2,6.71,Ambient,Medium,365,454.44,1,0.52,0.52,7,5.5,Z5,A3,R5,50,58.0,66.83,26.93,10,7,C,Z,CZ
ORD00016,3,2026-01-10,App,Standard,4,SKU107,Grocery,Breakfast,2,6.1,21.2,15.0,6.91,Fragile,Medium,90,245.94,41,0.17,6.97,287,259.0,Z8,A5,R4,40,88.5,100.86,43.32,61,19,C,X,CX
ORD00016,4,2026-01-10,App,Standard,4,SKU016,Grocery,Snacks,2,24.0,11.6,22.1,7.25,Ambient,Low,90,103.25,10,0.31,3.1,70,61.8,Z4,A2,R3,30,43.0,37.47,24.05,26,14,C,Y,CY
ORD00017,1,2026-02-25,App,Standard,3,SKU014,Household,Cleaning,2,20.2,8.3,17.2,0.64,Ambient,Low,365,1273.78,14,0.26,3.64,98,101.6,Z8,A5,R2,50,85.5,92.71,34.11,35,16,A,Y,AY
ORD00017,2,2026-02-25,App,Standard,3,SKU077,Household,Laundry,1,17.9,24.8,9.0,5.27,Ambient,High,180,826.51,4,0.65,2.6,28,23.1,Z4,A2,R5,50,46.0,44.53,22.96,16,13,C,Z,CZ
ORD00017,3,2026-02-25,App,Standard,3,SKU099,Household,Laundry,1,29.0,8.5,13.8,5.17,Ambient,Low,365,1535.82,7,0.5,3.5,49,42.0,Z8,A1,R6,30,75.5,72.27,22.46,38,24,A,Y,AY
ORD00018,1,2026-02-18,App,Standard,4,SKU074,Dairy & Chilled,Dairy,1,28.7,10.9,16.3,1.48,Chilled,Low,730,772.2,15,0.16,2.4,105,80.1,Z6,A3,R3,30,63.0,67.53,26.32,53,23,A,X,AX
ORD00018,2,2026-02-18,App,Standard,4,SKU088,Household,Cleaning,1,32.2,13.7,30.5,6.57,Ambient,Low,60,332.96,13,0.4,5.2,91,71.4,Z1,A2,R4,40,20.5,20.33,16.85,63,34,B,Y,BY
ORD00018,3,2026-02-18,App,Standard,4,SKU032,Grocery,Snacks,1,5.9,13.4,28.8,3.29,Ambient,Low,365,973.07,9,0.38,3.42,63,75.5,Z5,A2,R2,50,49.5,48.5,21.24,47,27,A,Y,AY
ORD00018,4,2026-02-18,App,Standard,4,SKU005,Grocery,Breakfast,1,20.8,20.2,38.8,7.44,Ambient,Medium,180,1791.39,5,0.48,2.4,35,37.0,Z3,A4,R4,40,44.5,44.73,27.44,23,19,A,Y,AY
ORD00019,1,2026-01-11,App,Standard,4,SKU067,Health & Wellness,Vitamins,1,19.0,6.9,31.4,1.88,Ambient,Medium,365,674.25,10,0.49,4.9,70,79.4,Z1,A4,R1,40,24.0,22.82,19.64,28,20,B,Y,BY
ORD00019,2,2026-01-11,App,Standard,4,SKU008,Personal Care,Bath & Body,1,26.9,21.8,39.4,0.88,Ambient,High,60,365.07,4,0.63,2.52,28,27.9,Z2,A1,R2,50,21.5,23.38,13.48,20,19,C,Z,CZ
ORD00019,3,2026-01-11,App,Standard,4,SKU091,Pet Care,Dog Food,1,16.5,19.5,38.4,5.94,Fragile,High,365,1182.01,5,0.7,3.5,35,30.7,Z3,A5,R2,50,45.5,44.22,28.55,30,23,A,Z,AZ
ORD00019,4,2026-01-11,App,Standard,4,SKU018,Grocery,Beverages,2,28.9,26.5,36.5,1.76,Ambient,Medium,180,1753.56,3,0.85,2.55,21,23.4,Z6,A2,R2,50,57.5,63.14,21.83,20,13,A,Z,AZ
ORD00020,1,2026-02-12,App,Standard,3,SKU053,Grocery,Cooking,1,18.1,22.5,9.2,7.79,Ambient,Low,365,49.27,7,0.53,3.71,49,45.3,Z8,A2,R1,40,72.0,84.72,27.29,44,30,C,Z,CZ
ORD00020,2,2026-02-12,App,Standard,3,SKU089,Baby Care,Diapers,1,23.8,16.6,24.7,4.68,Ambient,Medium,365,598.69,2,0.88,1.76,14,17.3,Z2,A1,R6,30,27.5,29.58,14.57,18,14,C,Z,CZ
ORD00020,3,2026-02-12,App,Standard,3,SKU027,Personal Care,Skin Care,2,12.3,21.4,5.2,6.03,Ambient,Low,60,1452.29,11,0.4,4.4,77,83.4,Z3,A4,R3,30,43.0,48.28,27.02,25,13,A,Y,AY
ORD00021,1,2026-03-12,App,Standard,1,SKU087,Health & Wellness,Vitamins,1,15.9,15.9,8.7,3.54,Ambient,Medium,60,616.2,7,0.74,5.18,49,38.8,Z1,A2,R5,50,22.0,24.99,17.29,29,22,B,Z,BZ
ORD00022,1,2026-02-18,Web,Standard,2,SKU119,Baby Care,Baby Food,2,22.2,20.5,6.1,7.12,Ambient,Low,60,1453.32,23,0.2,4.6,161,173.4,Z7,A1,R5,50,66.0,58.34,25.66,24,12,A,X,AX
ORD00022,2,2026-02-18,Web,Standard,2,SKU095,Baby Care,Diapers,3,33.4,29.9,36.9,0.84,Ambient,Low,90,344.97,23,0.29,6.67,161,131.7,Z6,A1,R2,50,53.5,53.07,20.62,43,20,C,Y,CY
ORD00023,1,2026-03-24,App,Standard,4,SKU067,Health & Wellness,Vitamins,1,19.0,6.9,31.4,1.88,Ambient,Medium,365,674.25,10,0.49,4.9,70,79.4,Z1,A4,R1,40,24.0,26.05,22.08,28,20,B,Y,BY
ORD00023,2,2026-03-24,App,Standard,4,SKU008,Personal Care,Bath & Body,1,26.9,21.8,39.4,0.88,Ambient,High,60,365.07,4,0.63,2.52,28,27.9,Z2,A1,R2,50,21.5,18.49,12.5,20,19,C,Z,CZ
ORD00023,3,2026-03-24,App,Standard,4,SKU091,Pet Care,Dog Food,1,16.5,19.5,38.4,5.94,Fragile,High,365,1182.01,5,0.7,3.5,35,30.7,Z3,A5,R2,50,45.5,56.18,29.63,30,23,A,Z,AZ
ORD00023,4,2026-03-24,App,Standard,4,SKU018,Grocery,Beverages,1,28.9,26.5,36.5,1.76,Ambient,Medium,180,1753.56,3,0.85,2.55,21,23.4,Z6,A2,R2,50,57.5,52.13,23.96,20,13,A,Z,AZ
ORD00024,1,2026-02-09,App,Standard,3,SKU099,Household,Laundry,1,29.0,8.5,13.8,5.17,Ambient,Low,365,1535.82,7,0.5,3.5,49,42.0,Z8,A1,R6,30,75.5,88.34,22.59,38,24,A,Y,AY
ORD00024,2,2026-02-09,App,Standard,3,SKU112,Personal Care,Oral Care,2,5.8,9.7,23.1,7.32,Ambient,Medium,60,1793.55,2,0.88,1.76,14,12.0,Z8,A3,R2,50,77.5,81.87,31.26,36,24,A,Z,AZ
ORD00024,3,2026-02-09,App,Standard,3,SKU093,Personal Care,Oral Care,1,15.2,19.9,32.6,5.21,Ambient,Medium,90,472.29,4,0.6,2.4,28,32.7,Z5,A1,R2,50,45.5,46.43,18.48,11,10,C,Z,CZ
ORD00025,1,2026-03-01,App,Standard,3,SKU052,Grocery,Staples,4,29.7,5.0,35.4,3.75,Ambient,Medium,180,1135.1,36,0.23,8.28,252,281.7,Z8,A5,R5,50,90.0,80.16,38.37,56,20,A,X,AX
ORD00025,2,2026-03-01,App,Standard,3,SKU032,Grocery,Snacks,3,5.9,13.4,28.8,3.29,Ambient,Low,365,973.07,9,0.38,3.42,63,75.5,Z5,A2,R2,50,49.5,48.53,19.8,47,27,A,Y,AY
ORD00025,3,2026-03-01,App,Standard,3,SKU120,Grocery,Staples,1,18.2,17.1,12.1,4.89,Ambient,Medium,90,1756.29,6,0.43,2.58,42,32.4,Z6,A2,R3,30,59.0,70.51,22.92,12,9,B,Y,BY
ORD00026,1,2026-03-09,App,Standard,6,SKU040,Grocery,Beverages,2,13.3,5.3,38.2,0.78,Ambient,Medium,730,870.07,22,0.29,6.38,154,168.1,Z8,A2,R4,40,76.5,86.24,24.19,31,16,B,Y,BY
ORD00026,2,2026-03-09,App,Standard,6,SKU071,Grocery,Beverages,2,33.5,26.4,8.5,5.52,Ambient,Low,180,514.69,16,0.24,3.84,112,138.0,Z4,A4,R6,30,55.5,50.24,31.03,35,15,B,X,BX
ORD00026,3,2026-03-09,App,Standard,6,SKU075,Grocery,Breakfast,1,8.3,17.6,38.1,0.44,Ambient,Medium,180,1166.93,10,0.4,4.0,70,50.2,Z2,A1,R1,40,20.0,22.08,10.76,20,14,B,Y,BY
ORD00026,4,2026-03-09,App,Standard,6,SKU111,Grocery,Snacks,3,15.9,28.7,6.1,1.31,Ambient,Low,30,1043.71,25,0.28,7.0,175,173.5,Z8,A2,R2,50,73.5,91.87,26.24,52,19,A,Y,AY
ORD00026,5,2026-03-09,App,Standard,6,SKU022,Grocery,Staples,2,26.9,12.8,26.2,4.14,Ambient,Low,730,799.0,14,0.38,5.32,98,96.6,Z7,A5,R5,50,82.0,74.3,34.96,21,10,C,Y,CY
ORD00026,6,2026-03-09,App,Standard,6,SKU068,Grocery,Cooking,2,25.2,21.8,25.5,6.6,Ambient,Low,30,1124.7,14,0.25,3.5,98,119.4,Z8,A1,R3,30,71.0,61.87,25.72,35,16,A,X,AX
ORD00027,1,2026-02-15,App,Standard,6,SKU059,Pet Care,Pet Hygiene,2,14.5,23.0,31.6,6.99,Fragile,Low,730,1239.81,41,0.16,6.56,287,246.3,Z7,A2,R5,50,70.0,81.36,29.14,67,20,A,X,AX
ORD00027,2,2026-02-15,App,Standard,6,SKU049,Personal Care,Bath & Body,1,17.1,11.8,23.9,3.56,Ambient,Medium,365,469.4,6,0.55,3.3,42,31.5,Z5,A1,R1,40,44.0,46.12,18.68,44,39,B,Z,BZ
ORD00027,3,2026-02-15,App,Standard,6,SKU041,Personal Care,Hair Care,2,17.1,11.1,28.2,3.02,Ambient,High,365,612.15,6,0.34,2.04,42,45.6,Z5,A5,R6,30,67.5,64.61,31.96,43,26,B,Y,BY
ORD00027,4,2026-02-15,App,Standard,6,SKU023,Baby Care,Baby Hygiene,1,27.1,9.9,20.1,7.6,Ambient,Medium,30,1302.56,6,0.87,5.22,42,36.3,Z3,A4,R6,30,47.5,50.67,30.24,20,16,B,Z,BZ
ORD00027,5,2026-02-15,App,Standard,6,SKU117,Grocery,Snacks,2,11.8,28.7,23.2,2.34,Ambient,High,90,247.18,3,0.87,2.61,21,18.2,Z2,A5,R5,50,42.0,43.11,28.22,10,8,C,Z,CZ
ORD00027,6,2026-02-15,App,Standard,6,SKU029,Pet Care,Cat Food,1,19.2,11.5,13.7,5.14,Ambient,Medium,90,805.77,15,0.3,4.5,105,114.7,Z6,A1,R5,50,58.0,66.37,21.92,35,17,A,Y,AY
